,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
4,Kyle Lowry,PG,34,TOR,61.42857142857143,46,34.8,5.7,13.0,0.4153571428571428,2.707142857142857,7.2,0.396,2.8,5.8,0.487,0.546,3.0,3.5,0.8490714285714286,0.8,4.6,4.985714285714286,7.799999999999999,1.3785714285714283,0.3,2.9571428571428577,3.1,17.685714285714287,2020-21,6.727771437745843
4,Patrick McCaw,SF,25,TOR,36.142857142857146,0,6.6,0.2,0.2,0.40991239892183284,0.4928571428571428,0.0,,0.2,0.2,1.0,1.0,0.6,0.6,0.7568809523809524,0.2,0.4,2.0435960591133004,1.7268472906403944,0.9899014778325123,0.0,0.7219211822660098,1.2,3.984729064039409,2020-21,1.7050467147325785
4,Pascal Siakam,PF,26,TOR,67.21428571428571,56,35.8,7.8,17.2,0.4843571428571429,1.7285714285714289,4.4,0.297,6.5,12.8,0.509,0.493,4.4,5.4,0.7777857142857142,1.7,5.5,6.985714285714287,3.2785714285714285,0.9571428571428572,0.7,2.207142857142857,3.1,20.071428571428573,2020-21,6.012517505338943
4,Fred VanVleet,SG,26,TOR,58.42857142857143,52,36.5,6.5,16.7,0.41307142857142853,2.35,9.2,0.366,3.2,7.6,0.416,0.489,3.3,3.7,0.8454285714285713,0.6,3.6,3.357142857142857,5.8428571428571425,1.5428571428571427,0.7,1.8571428571428572,2.3,15.071428571428571,2020-21,9.417371721708186
4,Jordan Clarkson,SG,28,UTA,78.64285714285714,1,26.7,6.7,15.8,0.4550970975468897,1.9585097541772374,8.8,0.347,3.7,7.0,0.523,0.522,1.9,2.1,0.8318695478558009,0.7,3.3,2.794814539410375,2.101468229667862,0.6678418336103578,0.1,1.4454298253287843,1.6,15.279142973784738,2020-21,6.096464599080103
4,Mike Conley,PG,33,UTA,51.07142857142857,51,29.4,5.6,12.5,0.4152857142857143,2.0571428571428574,6.6,0.412,2.9,6.0,0.479,0.552,2.4,2.8,0.8304285714285714,0.7,2.8,3.192857142857143,4.950000000000001,0.9571428571428572,0.2,1.9357142857142857,1.9,16.507142857142856,2020-21,7.123549569910626
4,Derrick Favors,C,29,UTA,60.0,0,15.3,2.3,3.6,0.6042857142857143,0.07142857142857142,0.0,0.0,2.3,3.5,0.643,0.638,0.9,1.2,0.6012857142857142,2.0,3.5,8.928571428571429,1.4642857142857142,0.6357142857142856,1.0,1.1,2.1,10.035714285714286,2020-21,1.6075880329840309
4,Rudy Gobert,C,28,UTA,70.85714285714286,71,30.8,5.5,8.2,0.6810714285714285,0.0,0.1,0.0,5.5,8.1,0.68,0.675,3.3,5.3,0.6354285714285715,3.4,10.1,13.12857142857143,1.6357142857142857,0.7999999999999999,2.7,1.8142857142857143,2.3,15.214285714285714,2020-21,5.188464576898531
4,Joe Ingles,SF,33,UTA,75.57142857142857,30,27.9,4.1,8.4,0.4474285714285714,2.1214285714285714,6.1,0.451,1.4,2.3,0.59,0.652,1.1,1.3,0.7647142857142857,0.4,3.2,3.9499999999999997,5.314285714285715,1.0,0.2,2.107142857142857,1.8,10.578571428571427,2020-21,5.375741784691855
3,Donovan Mitchell,PG,24,UTA,72.0,53,33.4,9.0,20.6,0.44328571428571434,2.4642857142857144,8.7,0.386,5.7,11.9,0.476,0.52,5.0,6.0,0.8425714285714285,0.9,3.5,4.264285714285714,4.228571428571429,1.1500000000000001,0.3,2.7285714285714286,2.2,23.692857142857143,2020-21,7.281374885341254
4,Georges Niang,PF,27,UTA,59.92857142857143,10,16.0,2.5,5.6,0.4432857142857142,1.0999999999999999,4.1,0.425,0.7,1.6,0.469,0.59,0.3,0.3,0.8092142857142858,0.4,2.1,1.7214285714285713,0.6428571428571429,0.2642857142857143,0.1,0.4571428571428572,1.6,5.007142857142857,2020-21,1.5740768616280265
3,Royce O'Neale,SF,27,UTA,74.0,71,31.6,2.5,5.5,0.4442857142857143,1.1071428571428572,3.9,0.385,1.0,1.6,0.586,0.58,0.5,0.6,0.7662142857142857,1.2,5.6,4.778571428571429,2.1357142857142857,0.75,0.5,0.8928571428571429,2.6,5.892857142857143,2020-21,4.064037041964819
4,Bradley Beal,SG,27,WAS,65.92857142857143,60,35.8,11.2,23.0,0.4610714285714286,2.814285714285714,6.2,0.349,9.0,16.8,0.535,0.532,6.8,7.7,0.8286428571428571,1.2,3.5,4.442857142857143,5.814285714285715,1.2857142857142858,0.4,3.142857142857143,2.3,28.535714285714285,2020-21,7.625250032973311
4,Robin Lopez,C,32,WAS,68.14285714285714,9,19.1,3.8,6.0,0.5164285714285713,0.35714285714285715,0.3,0.278,3.7,5.7,0.649,0.639,1.4,1.9,0.6002857142857143,2.0,1.8,2.9785714285714286,0.9285714285714286,0.17142857142857146,0.6,1.1357142857142857,1.5,7.028571428571429,2020-21,0.15254631678330438
4,Raul Neto,PG,28,WAS,48.214285714285715,22,21.9,3.3,7.0,0.4565714285714285,0.5642857142857143,2.6,0.39,2.3,4.4,0.512,0.539,1.2,1.3,0.8289285714285715,0.4,2.0,1.2785714285714285,2.0,0.39285714285714285,0.1,0.9,1.7,5.114285714285714,2020-21,3.2301361500676755
4,Ish Smith,PG,32,WAS,65.57142857142857,1,21.0,2.9,6.8,0.4417857142857143,0.8357142857142856,1.1,0.367,2.5,5.6,0.448,0.465,0.4,0.8,0.7299285714285714,0.5,2.9,2.9928571428571433,4.492857142857143,0.7785714285714285,0.3,1.3071428571428572,1.4,10.328571428571431,2020-21,-0.985457665384671
4,Russell Westbrook,PG,32,WAS,63.214285714285715,65,36.4,8.4,19.0,0.4577857142857142,1.1857142857142857,4.2,0.315,7.0,14.8,0.475,0.474,4.2,6.4,0.7305714285714285,1.7,9.9,8.971428571428572,8.292857142857143,1.7,0.4,4.521428571428571,2.9,25.842857142857138,2020-21,8.597868838549157
