PLAYER,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE
Ish Smith,32,67.2835568397394,1,21.0,2.9,6.8,0.4468557786737426,0.7453013848110496,1.1,0.367,2.5,5.6,0.448,0.465,0.4,0.8,0.7280728490012359,0.5,2.9,2.874760696109995,4.336003731928519,0.7394493535494086,0.3,1.2735574912896197,1.4,10.21783724519578,0.7298115494159401
Russell Westbrook,32,68.00446400107576,65,36.4,8.4,19.0,0.4514452574316652,1.252885017420761,4.2,0.315,7.0,14.8,0.475,0.474,4.2,6.4,0.7202335877906398,1.7,9.9,9.5220585084612,9.057898247549485,1.7505606042001285,0.4,4.572354286469244,2.9,25.29922435835547,9.317310975856445
Aaron Gordon,25,66.49257821884383,50,27.65,4.6,9.95,0.4403694336641328,1.529377314878827,3.55,0.3380281690140845,3.4,6.45,0.5271317829457364,0.5226130653266331,1.9,3.0,0.6992299814294597,1.55,4.15,7.6459117777588625,3.362346663143529,0.8141280532392849,0.7,1.81877687968055,1.8,15.71750925951531,2.729984199723482
Al-Farouq Aminu,30,51.7883554761043,14,18.88695652173913,1.6304347826086956,4.28695652173913,0.3645163749004373,1.0522922055481991,1.5913043478260869,0.2185792349726776,1.3086956521739128,2.695652173913043,0.4854838709677419,0.4208924949290061,0.7739130434782608,0.9478260869565216,0.7473272712657378,0.9652173913043476,3.834782608695652,6.396226392698635,1.234108137740211,0.955901820009326,0.3695652173913043,0.948236190979496,1.2739130434782608,7.245419799238151,0.6540742233963339
Alex Len,27,65.88032367141112,42,15.2640625,2.659375,4.339062500000001,0.539119335773681,0.4739979080340581,0.365625,0.3632478632478633,2.5265625,3.984375,0.6341176470588235,0.628195894850558,1.1124999999999998,1.790625,0.6611330272206559,1.246875,2.846875,6.141861746553297,1.0557610225933167,0.4075952303218257,0.9890625,1.1378353541931192,2.0234375,9.151359441268886,-1.4494687729503788
Andre Drummond,27,69.56859035569346,46,27.028260869565216,6.15,12.415217391304346,0.5305550953899211,0.0634230617893625,0.1630434782608695,0.0,6.15,12.252173913043478,0.5019517388218595,0.4953598319033445,2.6891304347826086,4.469565217391304,0.5844388526454191,3.5891304347826085,8.35,15.504459629437047,2.3120924145182395,1.7477701852814758,1.1086956521739129,2.8813051167395685,3.2565217391304344,16.936563683156514,4.359646050436803
Austin Rivers,28,69.04038433493452,7,23.458333333333336,2.925,6.775,0.4159842491211121,1.574993112475767,4.158333333333333,0.3627254509018036,1.3583333333333334,2.675,0.5077881619937695,0.5430504305043049,0.625,0.8666666666666667,0.6296387632785199,0.2,2.041666666666667,2.378081581317061,2.420320180818647,0.7864823397085287,0.0416666666666666,1.030373786865261,1.75,10.090107668679808,1.2993443148124744
Avery Bradley,30,53.05159641893709,6,22.296296296296298,2.344444444444444,6.348148148148148,0.4237857791523105,1.4177578692978094,3.737037037037037,0.3270564915758176,1.1222222222222222,2.611111111111111,0.4297872340425532,0.4655775962660443,0.4481481481481481,0.5851851851851853,0.8184257671818238,0.3259259259259259,1.7888888888888888,2.5317648921563896,1.8738559357628628,0.8877648637380121,0.1,1.4109298207416647,2.033333333333333,10.423454231933656,0.3421730221925756
Ben McLemore,27,49.64605405162815,5,17.077358490566038,2.5396226415094336,6.881132075471698,0.4203755250350461,1.5924983638104069,5.279245283018868,0.3445318084345961,0.7207547169811321,1.6018867924528302,0.4499411071849234,0.5012338908692076,0.739622641509434,1.0,0.7388314094868267,0.260377358490566,1.581132075471698,1.828948495846502,0.6194692690484827,0.5217936822691152,0.1792452830188679,0.6600398309981481,1.679245283018868,7.358224977373478,-0.171104868676478
Blake Griffin,31,47.088876707819374,30,25.76086956521739,3.817391304347826,8.952173913043477,0.4098460217430788,1.9375537593611003,4.447826086956521,0.3479960899315738,2.269565217391304,4.504347826086956,0.5038610038610039,0.51287032540068,1.917391304347826,2.534782608695652,0.7716331960744537,0.7956521739130434,4.165217391304347,6.2916624118087325,4.605916744345508,0.5709362365966396,0.3260869565217391,2.7606594935423283,2.4391304347826086,19.991036713583775,2.1804065385051636
