AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE,POS_C,POS_PF,POS_PG,POS_SF,POS_SG
32,67.42857142857143,13.428571428571429,22.27142857142857,2.3428571428571425,4.985714285714286,0.4737142857142857,0.5857142857142856,1.6999999999999995,0.3322142857142857,1.757142857142857,3.2857142857142856,0.546,0.5296428571428572,0.8357142857142856,1.2285714285714289,0.679,0.7928571428571428,3.5857142857142854,4.378571428571428,1.407142857142857,1.0857142857142856,0.4571428571428572,0.8428571428571427,1.4428571428571428,6.078571428571428,2.327999032499894,0,0,0,1,0
23,32.214285714285715,0.8571428571428571,8.228571428571428,0.9928571428571428,2.692857142857143,0.3359999999999999,0.1785714285714285,0.6357142857142858,0.2419285714285714,0.8857142857142858,2.0571428571428574,0.3984999999999999,0.3774285714285714,0.5785714285714285,0.7285714285714285,0.8072857142857143,0.5142857142857142,1.55,2.071428571428572,0.25,0.3642857142857142,0.0999999999999999,0.3642857142857142,0.8142857142857143,2.75,-2.512219524678541,0,1,0,0,0
29,78.5,5.928571428571429,20.50714285714286,2.5928571428571425,5.235714285714287,0.4935,0.2428571428571428,0.6357142857142858,0.2869285714285713,2.414285714285714,4.6000000000000005,0.5173571428571428,0.512,0.9428571428571428,1.457142857142857,0.6408571428571428,2.0142857142857147,3.4857142857142853,5.471428571428572,1.085714285714286,0.6357142857142858,0.5071428571428571,1.0142857142857142,1.992857142857143,6.335714285714286,-0.1734409618970439,0,1,0,0,0
33,72.14285714285714,16.714285714285715,21.42142857142857,2.528571428571429,6.892857142857143,0.3608998403830806,1.2857142857142858,3.921428571428571,0.3178074534161491,1.1928571428571428,2.9571428571428564,0.4005714285714286,0.4505263367916999,0.8642857142857142,1.0785714285714283,0.7994591836734694,0.2785714285714286,1.6285714285714286,1.914285714285714,2.2214285714285715,0.5785714285714285,0.3285714285714285,1.1571428571428573,1.75,7.2,-0.5503404369167193,0,0,0,0,1
28,76.35714285714286,19.285714285714285,26.342857142857145,3.8,9.157142857142857,0.4178571428571428,0.9857142857142858,2.7785714285714285,0.347,2.907142857142857,6.4071428571428575,0.4487142857142857,0.4697142857142857,3.042857142857143,3.671428571428572,0.8098571428571428,0.4714285714285714,2.5500000000000003,2.9857142857142853,3.5357142857142856,0.8357142857142856,0.4642857142857143,2.0285714285714285,2.257142857142857,11.614285714285714,4.201393437457634,0,0,1,0,0
28,68.71428571428571,60.71428571428572,32.25,7.75,15.035714285714286,0.5152857142857143,0.0,0.1642857142857142,0.1204999999999999,7.75,14.935714285714283,0.5192142857142857,0.5159285714285715,4.042857142857143,5.107142857142857,0.7968571428571428,2.821428571428572,4.828571428571428,7.557142857142858,1.55,0.7214285714285714,1.7357142857142855,2.057142857142857,2.914285714285714,19.635714285714283,5.127368155782897,1,0,0,0,0
36,77.85714285714286,53.57142857142857,20.9,3.5357142857142856,7.821428571428571,0.4562857142857143,0.6071428571428571,1.4142857142857144,0.3413571428571428,2.9928571428571438,6.407142857142857,0.4695,0.4922142857142857,1.1714285714285713,1.6285714285714283,0.7184285714285714,1.2642857142857142,3.95,5.221428571428572,1.0214285714285716,0.5785714285714285,0.3285714285714285,1.0142857142857142,2.307142857142857,8.821428571428571,-2.613977400885417,0,1,0,0,0
30,43.85714285714285,9.928571428571429,21.405696202531647,2.5659132007233274,6.964285714285714,0.3564594217738949,1.0688065099457504,3.546383363471971,0.29375494276795,1.4971066907775767,3.4481012658227845,0.4243628695248413,0.4303969912198523,0.902622061482821,1.0311934900542497,0.8265135281385281,0.2301989150090416,1.9792043399638333,2.186347197106691,3.918896925858952,0.4555153707052441,0.0357142857142857,1.6396021699819168,1.9136528028933093,7.0620253164556965,-1.990545277151005,0,0,1,0,0
26,75.14285714285714,72.42857142857143,32.67857142857143,5.885714285714286,13.342857142857143,0.4412142857142856,1.7714285714285711,5.021428571428571,0.3608571428571428,4.114285714285714,8.407142857142857,0.4911428571428571,0.5089285714285714,1.2285714285714289,1.5357142857142858,0.7845714285714287,0.6142857142857142,2.407142857142857,3.021428571428572,1.9642857142857144,1.3571428571428572,0.2642857142857143,1.414285714285714,2.242857142857143,14.807142857142855,3.479925504631792,0,0,0,0,1
26,75.92857142857143,52.35714285714285,27.19390243902439,4.0599303135888505,9.297038327526131,0.4353485040033713,1.3381533101045295,4.076480836236934,0.3192591640972936,2.7789198606271777,5.284843205574913,0.5234267530911736,0.5049365781710915,2.1510452961672475,2.670209059233449,0.7974624886099019,0.9477351916376308,3.611672473867596,4.475261324041812,1.5358885017421602,1.400871080139373,0.4397212543554007,0.9167247386759582,2.2930313588850173,11.657491289198603,4.164765946855502,0,0,0,1,0
31,71.35714285714286,13.571428571428571,22.12857142857143,3.7714285714285714,9.342857142857143,0.4026428571428572,1.4928571428571429,4.371428571428571,0.3373571428571428,2.278571428571429,4.964285714285714,0.4584285714285714,0.4807142857142857,1.1857142857142855,1.4928571428571429,0.7996428571428572,0.4142857142857143,2.085714285714286,2.5,0.9642857142857144,0.6214285714285713,0.2857142857142857,0.9785714285714284,1.9214285714285717,10.25,-1.5951925951400416,0,0,0,1,0
